"target","MCDIp"
"talk",0.832599118942731
"tape",0.814977973568282
"taste",0.709251101321586
"teacher",0.665198237885463
"tear",0.590308370044053
"teddybear",0.894273127753304
"telephone",0.960352422907489
"that",0.850220264317181
"the",0.709251101321586
"their",0.317180616740088
"them",0.458149779735683
"then",0.33920704845815
"there",0.775330396475771
"these",0.537444933920705
"they",0.449339207048458
"think",0.524229074889868
"thirsty",0.797356828193833
"this",0.784140969162996
"those",0.511013215859031
"throw",0.894273127753304
"tickle",0.881057268722467
"tiger",0.898678414096916
"tights",0.436123348017621
"time",0.497797356828194
"tiny",0.449339207048458
"tired",0.854625550660793
"tissue",0.863436123348018
"to",0.722466960352423
"toast",0.894273127753304
"today",0.665198237885463
"toe",0.951541850220264
"tomorrow",0.625550660792952
"tongue",0.916299559471366
"tonight",0.506607929515419
"too",0.784140969162996
"tooth",0.929515418502203
"toothbrush",0.947136563876652
"touch",0.845814977973568
"towel",0.916299559471366
"toy",0.964757709251101
"tractor",0.704845814977974
"train",0.969162995594714
"trash",0.788546255506608
"tray",0.427312775330396
"tree",0.960352422907489
"tricycle",0.612334801762115
"truck",0.964757709251101
"try",0.643171806167401
"tummy",0.947136563876652
"tuna",0.506607929515419
"turkey",0.744493392070485
"turtle",0.94273127753304
"uncle",0.797356828193833
"under",0.784140969162996
"underpants",0.731277533039648
"up",0.911894273127753
"us",0.343612334801762
"vacuum",0.854625550660793
"vagina",0.392070484581498
"vanilla",0.484581497797357
"vitamins",0.682819383259912
"vroom",0.81057268722467
"wait",0.797356828193833
"wake",0.797356828193833
"walk",0.929515418502203
"walker",0.325991189427313
"wanna",0.806167400881057
"was",0.458149779735683
"wash",0.916299559471366
"watch",0.86784140969163
"water",0.947136563876652
"we",0.559471365638767
"were",0.286343612334802
"wet",0.947136563876652
"what",0.881057268722467
"when",0.444933920704846
"where",0.832599118942731
"which",0.312775330396476
"white",0.770925110132159
"who",0.713656387665198
"why",0.6784140969163
"will",0.524229074889868
"wind",0.770925110132159
"window",0.916299559471366
"windy",0.704845814977974
"wipe",0.784140969162996
"wish",0.383259911894273
"with",0.700440528634361
"wolf",0.60352422907489
"woods",0.343612334801762
"work",0.920704845814978
"would",0.268722466960352
"write",0.740088105726872
"yard",0.731277533039648
"yellow",0.86784140969163
"yes",0.995594713656388
"yesterday",0.348017621145374
"yogurt",0.845814977973568
"you",0.894273127753304
"your",0.621145374449339
"yourself",0.242290748898678
"yucky",0.889867841409692
"zebra",0.801762114537445
"zipper",0.832599118942731
"zoo",0.801762114537445
